"filename", "language", "Python", "Markdown", "pip requirements", "JSON", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\README.md", "Markdown", 0, 15, 0, 0, 0, 7, 22
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\__init__.py", "Python", 0, 0, 0, 0, 1, 2, 3
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\ahk_manager.py", "Python", 40, 0, 0, 0, 0, 11, 51
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\config.py", "Python", 41, 0, 0, 0, 0, 13, 54
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\process_manager.py", "Python", 195, 0, 0, 0, 0, 32, 227
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\tray_monitor.py", "Python", 328, 0, 0, 0, 0, 53, 381
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\ui.py", "Python", 195, 0, 0, 0, 23, 45, 263
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\main.py", "Python", 3, 0, 0, 0, 0, 3, 6
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\requirements.txt", "pip requirements", 0, 0, 3, 0, 0, 2, 5
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_ahk_manager.py", "Python", 25, 0, 0, 0, 0, 10, 35
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_config.py", "Python", 22, 0, 0, 0, 8, 10, 40
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_process_manager.py", "Python", 68, 0, 0, 0, 0, 23, 91
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_process_row.py", "Python", 21, 0, 0, 0, 0, 11, 32
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_tray_monitor.py", "Python", 86, 0, 0, 0, 0, 22, 108
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_tray_surface.py", "Python", 7, 0, 0, 0, 0, 8, 15
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\workspace_manager.json", "JSON", 0, 0, 0, 7, 0, 0, 7
"Total", "-", 1031, 15, 3, 7, 32, 252, 1340
